word,type,strength
yes,assent,strong
no,negation,strong
agree,assent,weak
alright,assent,weak
alrighty,assent,weak
definitely,assent,strong
good,assent,weak
gotcha,assent,strong
mhm,assent,strong
mmkay,assent,strong
okay,assent,strong
okie,assent,strong
oks,assent,strong
sure,assent,weak
uhhuh,assent,weak
yeah,assent,strong
yes,assent,strong
yup,assent,strong
nah,negation,strong
no,negation,strong
nope,negation,strong
not,negation,weak
n't,negation,weak
t,negation,weak
